pulled_at,pulled_date,pulled_time,vehicle_id,mode,route_id,latitude,longitude,bearing,speed,occupancy_status,occupancy_score,trip_id,speed_category
2026-08-16 14:25:54,2026-08-16,14:25:54,3396.9945.3780.2323.1613.4025.6100.3871,Sydney Trains,NTH_2a,-33.816654205322266,151.08993530273438,0.0,0.0,UNKNOWN,40,105L.1393.146.2.T.8.90919137,STATIONARY
2026-08-16 14:25:54,2026-08-16,14:25:54,6187.9598.2700.4916.1564.6710.9630,Sydney Trains,CTY_NC1a,-33.883277893066406,151.2056121826172,0.0,0.0,UNKNOWN,40,NT31.1393.146.2.X.7.90918286,STATIONARY
2026-08-16 14:25:54,2026-08-16,14:25:54,GE470AT Loc,Sydney Trains,,-33.80931091308594,150.99012756347656,0.0,0.0,UNKNOWN,40,NonTimetabled.3TMS,STATIONARY
2026-08-16 14:25:54,2026-08-16,14:25:54,6739.9800.4594.7155.3091.9423.8221.3373.5642.4675,Sydney Trains,CCN_1a,-33.88955307006836,151.1322479248047,0.0,0.0,UNKNOWN,40,N655.1393.146.2.D.10.90919712,STATIONARY
2026-08-16 14:25:54,2026-08-16,14:25:54,8033.5362.4720.9265.3934.1188.9037.2176.1268.9570,Sydney Trains,CCN_1a,-33.498619079589844,151.2416229248047,0.0,0.0,UNKNOWN,40,N651.1393.146.2.D.10.90916782,STATIONARY
2026-08-16 14:25:54,2026-08-16,14:25:54,4499.9434.9472.9617.1539.4689,Sydney Trains,CCN_2a,-33.018348693847656,151.52786254882812,0.0,0.0,UNKNOWN,40,N752.1393.146.2.D.6.90919528,STATIONARY
2026-08-16 14:25:54,2026-08-16,14:25:54,Wentworthville 1 Loc,Sydney Trains,,-33.807125091552734,150.97254943847656,0.0,0.0,UNKNOWN,40,NonTimetabled.U027,STATIONARY
2026-08-16 14:25:54,2026-08-16,14:25:54,2367.2805.9214.2921.8314.2795.8664.6274.2540.4919,Sydney Trains,CCN_2a,-33.89567184448242,151.1886749267578,0.0,0.0,UNKNOWN,40,N444.1393.146.2.D.10.90911431,STATIONARY
2026-08-16 14:25:54,2026-08-16,14:25:54,5538.8650.6945.5803.6641.8933.4447.1448.8248.5439,Sydney Trains,CCN_1a,-33.703189849853516,151.0982666015625,0.0,0.0,UNKNOWN,40,N653.1393.146.2.D.10.90917688,STATIONARY
2026-08-16 14:25:54,2026-08-16,14:25:54,8037.8084.5697.2958,Sydney Trains,CCN_2a,-33.755706787109375,151.0785369873047,0.0,0.0,MANY_SEATS_AVAILABLE,25,N746.1393.146.2.D.4.90912785,STATIONARY
